Week,Temperature,Rain,Snow,PM10,PM2.5,COVID19,Time,BusStop,BusNumber,people
2,11.8,0.0,0.0,39,19,1,9,82570,5,0
2,13.3,0.0,0.0,50,31,1,10,82570,5,3
2,14.5,0.0,0.0,48,16,1,11,82570,5,2
2,15.7,0.0,0.0,40,17,1,12,82570,5,0
2,16.1,0.0,0.0,36,11,1,13,82570,5,2
2,16.0,0.0,0.0,43,18,1,14,82570,5,2
2,16.2,0.0,0.0,40,15,1,15,82570,5,2
2,16.0,0.0,0.0,36,0,1,16,82570,5,2
2,15.8,0.0,0.0,50,45,1,17,82570,5,2
2,15.2,0.0,0.0,45,26,1,18,82570,5,3
2,14.9,0.0,0.0,42,23,1,19,82570,5,1
2,14.4,0.0,0.0,41,19,1,20,82570,5,1
2,13.9,0.0,0.0,41,19,1,21,82570,5,1
2,13.5,0.0,0.0,28,22,1,22,82570,5,1
2,13.0,0.0,0.0,31,19,1,23,82570,5,0
2,12.5,0.0,0.0,26,21,1,0,82570,5,0
2,12.0,0.0,0.0,26,17,1,1,82570,5,0
2,11.9,0.0,0.0,26,16,1,2,82570,5,0
2,11.6,0.0,0.0,28,23,1,3,82570,5,0
3,10.8,0.0,0.0,19,21,1,4,82570,5,0
3,10.4,0.0,0.0,23,10,1,5,82570,5,0
3,10.0,0.0,0.0,17,16,1,6,82570,5,0
3,9.7,0.0,0.0,20,16,1,7,82570,5,0
3,10.0,0.0,0.0,19,15,1,8,82570,5,2
3,12.9,0.0,0.0,25,25,1,9,82570,5,0
3,14.8,0.0,0.0,27,14,1,10,82570,5,1
3,15.8,0.0,0.0,28,18,1,11,82570,5,0
3,16.6,0.0,0.0,32,14,1,12,82570,5,1
3,18.3,0.0,0.0,31,10,1,13,82570,5,1
3,18.9,0.0,0.0,34,23,1,14,82570,5,2
3,18.6,0.0,0.0,48,31,1,15,82570,5,0
3,17.4,0.0,0.0,99,32,1,16,82570,5,0
3,16.4,0.0,0.0,137,42,1,17,82570,5,3
3,14.5,0.0,0.0,151,20,1,18,82570,5,1
3,12.5,0.0,0.0,81,5,1,19,82570,5,1
3,11.7,0.0,0.0,40,5,1,20,82570,5,3
3,11.1,0.0,0.0,27,5,1,21,82570,5,1
3,10.5,0.0,0.0,24,5,1,22,82570,5,2
3,9.9,0.0,0.0,22,5,1,23,82570,5,2
3,9.0,0.0,0.0,21,5,1,0,82570,5,0
3,9.3,0.0,0.0,17,5,1,1,82570,5,0
3,9.1,0.0,0.0,18,5,1,2,82570,5,0
3,8.8,0.0,0.0,17,5,1,3,82570,5,0
4,8.3,0.0,0.0,12,5,1,4,82570,5,0
4,7.2,0.0,0.0,13,5,1,5,82570,5,0
4,6.8,0.0,0.0,15,5,1,6,82570,5,0
4,6.6,0.0,0.0,12,5,1,7,82570,5,0
4,7.0,0.0,0.0,12,5,1,8,82570,5,1
4,9.8,0.0,0.0,11,5,1,9,82570,5,0
4,11.8,0.0,0.0,25,18,1,10,82570,5,0
4,13.0,0.0,0.0,22,19,1,11,82570,5,1
4,13.6,0.0,0.0,20,16,1,12,82570,5,2
4,15.0,0.0,0.0,22,16,1,13,82570,5,2
4,14.9,0.0,0.0,24,11,1,14,82570,5,2
4,15.2,0.0,0.0,20,10,1,15,82570,5,1
4,14.7,0.0,0.0,17,9,1,16,82570,5,2
4,12.5,0.0,0.0,18,7,1,17,82570,5,4
4,10.9,0.0,0.0,21,10,1,18,82570,5,3
4,9.9,0.0,0.0,18,10,1,19,82570,5,8
4,9.3,0.0,0.0,14,2,1,20,82570,5,1
4,9.0,0.0,0.0,12,1,1,21,82570,5,4
4,8.7,0.0,0.0,17,1,1,22,82570,5,1
4,8.2,0.0,0.0,13,8,1,23,82570,5,0
4,7.4,0.0,0.0,15,8,1,0,82570,5,0
4,6.6,0.0,0.0,12,14,1,1,82570,5,0
4,6.2,0.0,0.0,14,17,1,2,82570,5,0
4,5.7,0.0,0.0,11,11,1,3,82570,5,0
5,5.5,0.0,0.0,14,6,1,4,82570,5,0
5,4.5,0.0,0.0,9,16,1,5,82570,5,0
5,4.3,0.0,0.0,8,10,1,6,82570,5,0
5,4.0,0.0,0.0,13,7,1,7,82570,5,0
5,5.3,0.0,0.0,12,6,1,8,82570,5,0
5,8.6,0.0,0.0,12,14,1,9,82570,5,0
5,10.9,0.0,0.0,27,13,1,10,82570,5,0
5,12.0,0.0,0.0,22,1,1,11,82570,5,0
5,13.6,0.0,0.0,16,5,1,12,82570,5,1
5,15.0,0.0,0.0,13,1,1,13,82570,5,3
5,15.6,0.0,0.0,17,6,1,14,82570,5,2
5,15.2,0.0,0.0,18,4,1,15,82570,5,8
5,14.7,0.0,0.0,20,3,1,16,82570,5,3
5,12.5,0.0,0.0,13,12,1,17,82570,5,1
5,11.0,0.0,0.0,14,17,1,18,82570,5,1
5,9.5,0.0,0.0,12,7,1,19,82570,5,1
5,8.8,0.0,0.0,11,3,1,20,82570,5,0
5,8.4,0.0,0.0,10,7,1,21,82570,5,3
5,8.0,0.0,0.0,13,13,1,22,82570,5,0
5,7.6,0.0,0.0,17,16,1,23,82570,5,0
5,7.9,0.0,0.0,16,14,1,0,82570,5,0
5,6.9,0.0,0.0,16,6,1,1,82570,5,0
5,6.7,0.0,0.0,11,11,1,2,82570,5,0
5,6.6,0.0,0.0,14,8,1,3,82570,5,0
6,6.0,0.0,0.0,13,7,1,4,82570,5,0
6,5.6,0.0,0.0,13,6,1,5,82570,5,0
6,4.9,0.0,0.0,11,12,1,6,82570,5,0
6,4.7,0.0,0.0,13,11,1,7,82570,5,0
6,5.9,0.0,0.0,10,13,1,8,82570,5,0
6,9.5,0.0,0.0,13,0,1,9,82570,5,0
6,13.6,0.0,0.0,20,8,1,10,82570,5,0
6,16.7,0.0,0.0,30,7,1,11,82570,5,0
6,17.7,0.0,0.0,25,1,1,12,82570,5,2
6,18.5,0.0,0.0,19,1,1,13,82570,5,1
6,18.6,0.0,0.0,20,3,1,14,82570,5,1
6,19.0,0.0,0.0,21,13,1,15,82570,5,0
6,18.6,0.0,0.0,16,7,1,16,82570,5,2
6,17.6,0.0,0.0,15,8,1,17,82570,5,1
6,15.7,0.0,0.0,21,10,1,18,82570,5,2
6,13.3,0.0,0.0,17,15,1,19,82570,5,2
6,12.0,0.0,0.0,20,12,1,20,82570,5,1
6,11.5,0.0,0.0,19,1,1,21,82570,5,1
6,10.7,0.0,0.0,19,14,1,22,82570,5,0
6,9.7,0.0,0.0,19,18,1,23,82570,5,0
6,8.9,0.0,0.0,23,9,1,0,82570,5,0
6,8.3,0.0,0.0,14,6,1,1,82570,5,0
6,7.7,0.0,0.0,12,16,1,2,82570,5,0
6,7.0,0.0,0.0,17,17,1,3,82570,5,0
0,6.5,0.0,0.0,15,15,1,4,82570,5,0
0,6.4,0.0,0.0,13,12,1,5,82570,5,0
0,6.0,0.0,0.0,15,19,1,6,82570,5,0
0,5.7,0.0,0.0,17,13,1,7,82570,5,1
0,6.3,0.0,0.0,16,16,1,8,82570,5,0
0,9.6,0.0,0.0,21,22,1,9,82570,5,2
0,12.8,0.0,0.0,32,28,1,10,82570,5,0
0,15.6,0.0,0.0,43,25,1,11,82570,5,1
0,17.3,0.0,0.0,48,18,1,12,82570,5,3
0,18.6,0.0,0.0,60,24,1,13,82570,5,0
0,18.3,0.0,0.0,53,17,1,14,82570,5,3
0,19.2,0.0,0.0,41,20,1,15,82570,5,0
0,19.4,0.0,0.0,44,22,1,16,82570,5,6
0,17.4,0.0,0.0,51,21,1,17,82570,5,3
0,15.0,0.0,0.0,47,25,1,18,82570,5,2
0,13.7,0.0,0.0,51,22,1,19,82570,5,2
0,12.9,0.0,0.0,39,25,1,20,82570,5,1
0,11.8,0.0,0.0,43,36,1,21,82570,5,3
0,10.7,0.0,0.0,42,34,1,22,82570,5,0
0,9.7,0.0,0.0,40,32,1,23,82570,5,0
0,8.8,0.0,0.0,43,22,1,0,82570,5,0
0,8.1,0.0,0.0,35,32,1,1,82570,5,0
0,7.6,0.0,0.0,39,30,1,2,82570,5,0
0,7.1,0.0,0.0,38,30,1,3,82570,5,0
